,CelularPraAcessar,ComputadorPraAcessar,RendaPerCapita,TemCelular,TemComputador
1862,Sim,2.0,569.0,2.0,1.0
1863,Sim,2.0,1100.0,2.0,1.0
1890,Sim,2.0,2750.0,2.0,1.0
1902,Não,2.0,1000.0,2.0,1.0
1904,Sim,2.0,962.0,2.0,1.0
1905,Sim,2.0,999999999999.0,2.0,1.0
1911,Sim,2.0,2350.0,2.0,1.0
1912,Sim,2.0,1500.0,2.0,1.0
1914,Sim,2.0,1766.0,2.0,1.0
1915,Sem Informação,missing,307.0,2.0,1.0
1916,Sim,2.0,472.0,2.0,1.0
1920,Sim,2.0,916.0,2.0,1.0
1922,Sim,2.0,1569.0,2.0,1.0
1926,Sem Informação,missing,197.0,2.0,1.0
1929,Sim,2.0,220.0,2.0,1.0
1932,Sim,2.0,3000.0,2.0,1.0
1933,Sim,2.0,456.0,2.0,1.0
1934,Sim,2.0,4650.0,2.0,1.0
1936,Sim,2.0,1000.0,2.0,1.0
1937,Sem Informação,missing,470.0,2.0,1.0
1939,Sim,2.0,969.0,2.0,1.0
1940,Sem Informação,missing,146.0,2.0,1.0
1941,Sem Informação,missing,460.0,2.0,1.0
1942,Sim,2.0,934.0,2.0,1.0
1943,Sim,2.0,4133.0,2.0,1.0
